y_00,0.050638891,0.050588403,0.050515395,0.050479035,0.050450167,0.050376213,0.05025311,0.05026995,0.050113677,0.050053691,0.049996352,0.049976581,0.049891741,0.049728148,0.049651012,0.049537996,0.049464275,0.049487588,0.049335069,0.049192707
y_01,0.050598891,0.050548403,0.050475395,0.050459035,0.050400167,0.050356213,0.05020311,0.05026995,0.050113677,0.050053691,0.049996352,0.049986581,0.049841741,0.049728148,0.049621012,0.049687996,0.049584278,0.049487588,0.049335069,0.049172767
y_02,0.050658891,0.050648403,0.050585395,0.050459035,0.050400167,0.050356213,0.05024311,0.05026995,0.050153677,0.050063691,0.050026352,0.049956581,0.049901741,0.049808148,0.049721012,0.049617996,0.049534278,0.049357588,0.049285069,0.049252707
y_03,0.050652164,0.050593128,0.050587124,0.050457136,0.050423192,0.050357313,0.050261381,0.050210823,0.050174192,0.050063721,0.050003128,0.049902372,0.049847319,0.049808148,0.049723612,0.049631232,0.049482133,0.049366928,0.049282139,0.049172814
y_04,0.050652173,0.050593433,0.050485137,0.050455428,0.050403123,0.050322154,0.050265318,0.050211544,0.050175271,0.050065273,0.050005412,0.049905431,0.049845167,0.049773413,0.049685231,0.049584316,0.049557392,0.049396928,0.049361537,0.049256318
y_10,0.049873164,0.049903305,0.049965395,0.049998509,0.050047623,0.050107118,0.050144759,0.050140177,0.050157787,0.050167809,0.050161334,0.050114613,0.050112442,0.050020623,0.050000599,0.049927921,0.049892381,0.049823224,0.049747575,0.049690644
y_11,0.050248891,0.050298403,0.050325395,0.050359035,0.050300167,0.050296213,0.05023311,0.05021995,0.050203677,0.050203691,0.050146352,0.050106581,0.050001741,0.049918148,0.049821012,0.049687996,0.049644278,0.049487588,0.049335069,0.049162704
y_12,0.049877787,0.049913164,0.049964613,0.049993305,0.050037623,0.050123898,0.050134759,0.050150177,0.050151509,0.050123809,0.050100334,0.050107118,0.050102442,0.050039623,0.050004599,0.049907921,0.049932381,0.049803224,0.049774143,0.049757573
y_13,0.049806232,0.049903632,0.049924472,0.049991273,0.050072326,0.050128362,0.05015321,0.050141237,0.050142372,0.050107312,0.050102391,0.050110372,0.050041232,0.050039213,0.050001311,0.050010328,0.049923179,0.049905274,0.049813103,0.049683168
y_14,0.049853713,0.04993319,0.050000321,0.050023185,0.05006943,0.05005232,0.050136287,0.050103175,0.050109732,0.050107325,0.050115279,0.050123274,0.050043451,0.050033597,0.050005749,0.050003473,0.049908433,0.049862688,0.049809564,0.049706066
